100,19252.000000
200,25310.000000
300,53802.000000
400,103806.000000
500,133330.000000
600,193006.000000
700,245898.000000
800,342130.000000
900,431198.000000
1000,551814.000000
1100,632562.000000
1200,777142.000000
1300,890250.000000
1400,1106496.000000
1500,1225760.000000
1600,1354142.000000
1700,1626518.000000
1800,1888678.000000
1900,2190736.000000
2000,2552938.000000
2100,2845588.000000
2200,3254706.000000
2300,3527552.000000
2400,3915086.000000
2500,4276490.000000
2600,4732888.000000
2700,5228828.000000
2800,5586308.000000
2900,6090838.000000
3000,6562602.000000
3100,7086596.000000
3200,7628754.000000
3300,8156864.000000
3400,8750962.000000
3500,9323318.000000
3600,9933914.000000
3700,10551422.000000
3800,11413572.000000
3900,11951044.000000
4000,12493128.000000
4100,13255498.000000
4200,14000976.000000
4300,14687718.000000
4400,15374488.000000
4500,16238314.000000
4600,17141884.000000
4700,19071092.000000
4800,18641590.000000
4900,19457154.000000
5000,20328146.000000
5100,21245534.000000
5200,22187768.000000
5300,23160748.000000
5400,24075502.000000
5500,24969022.000000
5600,25997374.000000
5700,26901966.000000
5800,27922364.000000
5900,28952750.000000
6000,29862356.000000
6100,30757624.000000
6200,31811462.000000
6300,32832060.000000
6400,33944514.000000
6500,35142558.000000
6600,36194786.000000
6700,37322814.000000
6800,38403170.000000
6900,39545390.000000
7000,40764294.000000
7100,42141888.000000
7200,43155352.000000
7300,44380524.000000
7400,45720030.000000
7500,47205538.000000
7600,48179842.000000
7700,49431744.000000
7800,50783774.000000
7900,52086752.000000
8000,53406524.000000
8100,54960472.000000
8200,56150284.000000
8300,57554646.000000
8400,58888414.000000
8500,60898686.000000
8600,61797496.000000
8700,63210160.000000
8800,64617194.000000
8900,66341446.000000
9000,67686388.000000
9100,69203350.000000
9200,70720250.000000
9300,72322296.000000
9400,73815720.000000
9500,75435582.000000
9600,77209536.000000
9700,78539028.000000
9800,80348882.000000
9900,81788118.000000
